#{"t_start": 1753871221.667517, "env_id": "None"}
r,l,t
-10.3,4,5.443347
-11.2,13,5.447031
-11.7,18,5.453369
-10.0,1,5.453553
-2.0,20,5.460105
-2.0,20,5.466705
-2.0,20,5.473234
-11.9,20,5.47977
-10.3,4,5.481247
-2.0,20,5.487782
-10.2,3,5.488313
-2.0,20,5.494808
-10.0,1,5.495978
-10.1,2,5.496321
-11.8,19,5.502742
-2.0,20,5.509231
-2.0,20,5.515794
-2.0,20,5.524185
-2.0,20,5.531287
-2.0,20,5.538222
-2.0,20,5.544928
-2.0,20,5.551475
-10.0,1,5.551708
-10.1,2,5.552032
-10.1,2,5.553237
-11.9,20,5.559799
-10.8,9,5.562887
-10.7,8,5.565006
-2.0,20,5.571662
-11.9,20,5.578245
-10.9,10,5.581498
-10.4,5,5.583182
-10.2,3,5.584534
-10.3,4,5.585998
-10.1,2,5.586333
-10.0,1,5.586507
-2.0,20,5.593024
-2.0,20,5.599656
-2.0,20,5.606195
-2.0,20,5.612701
-2.0,20,5.619303
-2.0,20,5.625855
-11.6,17,5.631976
-10.9,10,5.635218
-10.7,8,5.637292
-10.9,10,5.640539
-10.4,5,5.642167
-2.0,20,5.648609
-2.0,20,5.655157
-2.0,20,5.661673
-11.2,13,5.66653
-10.1,2,5.666867
-2.0,20,5.673298
-2.0,20,5.679763
-10.3,4,5.681322
-2.0,20,5.689272
-10.5,6,5.691593
-2.0,20,5.698261
-2.0,20,5.705244
-11.8,19,5.711724
-2.0,20,5.71845
-2.0,20,5.725111
-2.0,20,5.731785
-11.5,16,5.736934
-2.0,20,5.74348
-10.0,1,5.743714
-10.4,5,5.745373
-10.1,2,5.746562
-10.6,7,5.748561
-2.0,20,5.755123
-10.2,3,5.756537
-2.0,20,5.763026
-10.0,1,5.763283
-10.1,2,5.763611
-2.0,20,5.770154
-11.8,19,5.776654
-10.2,3,5.778008
-10.3,4,5.779486
-10.0,1,5.779668
-10.0,1,5.77984
-2.0,20,5.786335
-2.0,20,5.79291
-11.0,11,5.796366
-2.0,20,5.802832
-2.0,20,5.809411
-2.0,20,5.81591
-11.9,20,5.822384
-10.8,9,5.825446
